token,date,liters,price,amount
pickup-6262,05/01/69,16.15,30.95,500.00
pickup-6262,09/01/69,49.26,30.45,1500.00
pickup-6262,21/01/69,49.26,30.45,1500.00
pickup-6262,30/01/69,49.26,30.45,1500.00
pickup-6262,10/02/69,49.26,30.45,1500.00
pickup-6262,16/02/69,49.26,30.45,1500.00
pickup-6262,04/03/69,68.97,30.45,2100.10
pickup-6262,17/03/69,72.25,30.45,2200.00
pickup-6262,03/04/69,70.47,48.25,3400.00
pickup-6262,22/04/69,65.15,42.21,2750.00
pickup-6262,06/05/69,48.41,41.31,2000.00
pickup-6262,15/05/69,47.66,41.96,2000.00
pickup-6262,24/05/69,46.83,42.71,2000.00
pickup-6262,01/06/69,48.53,41.21,2000.00
pickup-6262,20/06/69,52.61,38.01,2000.00
loader,10/01/69,150,30.45,4567.50
loader,21/01/69,150,30.45,4567.50
loader,13/02/69,150,30.45,4567.50
loader,04/03/69,150,30.45,4567.50
loader,20/03/69,150,30.95,4642.50
loader,11/04/69,150,44.91,6736.50
loader,28/04/69,150,40.71,6106.50
loader,19/05/69,150,42.71,6406.50
loader,08/06/69,150,41.31,6196.50
loader,27/06/69,150,38.01,5701.50
forklift,19/01/69,36,30.45,1096.20
forklift,02/02/69,36,30.45,1096.20
forklift,04/03/69,50,30.45,1522.50
forklift,31/03/69,50,41.25,2062.50
forklift,08/05/69,50,40.46,2023.00
forklift,04/06/69,50,42.01,2100.50
